iter,loss,elbo,kl,weighted_kl,kl_weight
1,43678.5,-43678.203125,0.2980640232563019,0.2980640232563019,1.0
2,43309.02734375,-43308.69140625,0.3349948525428772,0.3349948525428772,1.0
3,42903.5234375,-42903.0859375,0.43549951910972595,0.43549951910972595,1.0
4,42335.04296875,-42334.45703125,0.5857649445533752,0.5857649445533752,1.0
5,41610.54296875,-41609.76171875,0.7840299606323242,0.7840299606323242,1.0
6,40699.984375,-40698.953125,1.0344089269638062,1.0344089269638062,1.0
7,39089.8671875,-39088.515625,1.3549573421478271,1.3549573421478271,1.0
8,37093.6953125,-37091.9375,1.7596369981765747,1.7596369981765747,1.0
9,34959.4140625,-34957.13671875,2.2770891189575195,2.2770891189575195,1.0
10,32196.990234375,-32194.076171875,2.913480043411255,2.913480043411255,1.0
11,29312.13671875,-29308.4765625,3.6561553478240967,3.6561553478240967,1.0
12,27307.341796875,-27302.861328125,4.481515407562256,4.481515407562256,1.0
13,27188.98046875,-27183.66796875,5.3139214515686035,5.3139214515686035,1.0
14,26082.0,-26075.970703125,6.026736259460449,6.026736259460449,1.0
15,24026.28515625,-24019.662109375,6.624831199645996,6.624831199645996,1.0
16,22067.818359375,-22060.640625,7.1761322021484375,7.1761322021484375,1.0
17,20178.521484375,-20170.779296875,7.741129398345947,7.741129398345947,1.0
18,19043.595703125,-19035.236328125,8.35720157623291,8.35720157623291,1.0
19,18481.90234375,-18472.861328125,9.042336463928223,9.042336463928223,1.0
20,17739.62890625,-17729.8359375,9.791583061218262,9.791583061218262,1.0
21,17607.951171875,-17597.349609375,10.6021146774292,10.6021146774292,1.0
22,17396.833984375,-17385.388671875,11.445596694946289,11.445596694946289,1.0
23,17269.611328125,-17257.310546875,12.301787376403809,12.301787376403809,1.0
24,16780.423828125,-16767.283203125,13.141855239868164,13.141855239868164,1.0
25,16147.853515625,-16133.89453125,13.959545135498047,13.959545135498047,1.0
26,15709.6279296875,-15694.888671875,14.738795280456543,14.738795280456543,1.0
27,15153.1982421875,-15137.70703125,15.491945266723633,15.491945266723633,1.0
28,14751.498046875,-14735.2763671875,16.220922470092773,16.220922470092773,1.0
29,14439.0654296875,-14422.1240234375,16.940977096557617,16.940977096557617,1.0
30,14167.958984375,-14150.291015625,17.668245315551758,17.668245315551758,1.0
31,13967.3115234375,-13948.8935546875,18.4178409576416,18.4178409576416,1.0
32,13852.7744140625,-13833.5712890625,19.203950881958008,19.203950881958008,1.0
33,13685.40625,-13665.3779296875,20.029125213623047,20.029125213623047,1.0
34,13486.880859375,-13465.990234375,20.891555786132812,20.891555786132812,1.0
35,13205.875,-13184.080078125,21.795700073242188,21.795700073242188,1.0
36,13162.2294921875,-13139.484375,22.74526023864746,22.74526023864746,1.0
37,12974.3115234375,-12950.572265625,23.740013122558594,23.740013122558594,1.0
38,12928.7900390625,-12904.0205078125,24.769250869750977,24.769250869750977,1.0
39,12660.2568359375,-12634.439453125,25.817340850830078,25.817340850830078,1.0
40,12662.923828125,-12636.068359375,26.854516983032227,26.854516983032227,1.0
41,12635.009765625,-12607.154296875,27.85584831237793,27.85584831237793,1.0
42,12559.0341796875,-12530.232421875,28.80119514465332,28.80119514465332,1.0
43,12481.5205078125,-12451.8671875,29.653125762939453,29.653125762939453,1.0
44,12464.5810546875,-12434.1689453125,30.41302490234375,30.41302490234375,1.0
45,12555.9638671875,-12524.89453125,31.068418502807617,31.068418502807617,1.0
46,12440.4296875,-12408.8203125,31.609451293945312,31.609451293945312,1.0
47,12382.9384765625,-12350.9033203125,32.03396987915039,32.03396987915039,1.0
48,12414.29296875,-12381.908203125,32.38541030883789,32.38541030883789,1.0
49,12349.9423828125,-12317.25390625,32.688079833984375,32.688079833984375,1.0
50,12225.2568359375,-12192.30859375,32.949581146240234,32.949581146240234,1.0
51,12326.5029296875,-12293.3212890625,33.18122863769531,33.18122863769531,1.0
52,12393.1591796875,-12359.765625,33.3936653137207,33.3936653137207,1.0
53,12323.0615234375,-12289.4833984375,33.57771301269531,33.57771301269531,1.0
54,12382.150390625,-12348.3974609375,33.753849029541016,33.753849029541016,1.0
55,12340.8818359375,-12306.9716796875,33.909446716308594,33.909446716308594,1.0
56,12188.400390625,-12154.349609375,34.0505485534668,34.0505485534668,1.0
57,12270.078125,-12235.888671875,34.18901062011719,34.18901062011719,1.0
58,12239.943359375,-12205.6298828125,34.31444549560547,34.31444549560547,1.0
59,12343.3486328125,-12308.9111328125,34.436195373535156,34.436195373535156,1.0
60,12214.240234375,-12179.6845703125,34.55640411376953,34.55640411376953,1.0
61,12309.2666015625,-12274.5888671875,34.67717361450195,34.67717361450195,1.0
62,12248.583984375,-12213.7763671875,34.80739974975586,34.80739974975586,1.0
63,12176.4521484375,-12141.5244140625,34.92753219604492,34.92753219604492,1.0
64,12194.884765625,-12159.85546875,35.029258728027344,35.029258728027344,1.0
65,12196.4189453125,-12161.3125,35.105690002441406,35.105690002441406,1.0
66,12135.2861328125,-12100.130859375,35.1555290222168,35.1555290222168,1.0
